iter	R2	RMSE
83	0.9656948921	2.97094615
84	0.9659498321	2.959886202
85	0.9661959041	2.949171633
86	0.9664068433	2.939955746
87	0.9666050326	2.931270498
88	0.9667334859	2.925627519
89	0.9669430181	2.9163993
90	0.967153084	2.907118166
91	0.9673545257	2.898190154
92	0.967550738	2.889467388
93	0.967649676	2.885059022
94	0.9678600903	2.875661157
95	0.9680888794	2.865407629
96	0.9683277178	2.854664435
97	0.9685485679	2.844694268
98	0.9687044912	2.837634094
99	0.968883684	2.829498524
100	0.9690430948	2.822241368
101	0.9692252852	2.813924259
102	0.9693823671	2.806733581
103	0.9695879755	2.797293593
104	0.9697162581	2.791387652
105	0.9699422041	2.780954931
106	0.9700718842	2.774949428
107	0.9701662454	2.770571366
108	0.9703162941	2.763595296
109	0.9704626018	2.756776158
110	0.9705495351	2.75271635
111	0.9706078901	2.749987796
112	0.9707215871	2.744663776
113	0.9708394679	2.73913292
114	0.9709517219	2.733855665
115	0.9710785557	2.727880704
116	0.9711987218	2.72220775
117	0.9713053075	2.717166006
118	0.971426937	2.711401201
119	0.9715959991	2.703367847
120	0.9716907647	2.698854391
121	0.9717892145	2.694157461
122	0.9719153008	2.688130037
123	0.9719817429	2.684948395
124	0.9720406742	2.682123262
125	0.9721353604	2.67757781
126	0.9722067082	2.674147626
127	0.9722932429	2.669981388
128	0.9723814513	2.665727865
129	0.9725077911	2.65962375
130	0.9726205436	2.654164252
131	0.9726847183	2.651051883
132	0.9727192274	2.649376731
133	0.9728352955	2.64373474
134	0.972988794	2.636254736
135	0.9730818565	2.631709432
136	0.973201769	2.625841139
137	0.9732863523	2.621693891
138	0.9733405014	2.619035433
139	0.9734911124	2.611626921
140	0.9735556911	2.60844387
141	0.973648413	2.603866849
142	0.9737516179	2.598762881
143	0.9738438016	2.59419547
144	0.9739580082	2.588525718
145	0.974025734	2.585157617
146	0.9740968131	2.581618027
147	0.9742716948	2.572888553
148	0.9743575681	2.568591201
149	0.9744240761	2.565258001
150	0.9744926992	2.561814251
151	0.9746647234	2.55316105
152	0.9747256194	2.550090805
153	0.9748031611	2.546175969
154	0.9749072661	2.540910546
155	0.9749509277	2.53869898
156	0.9750141813	2.535491607
157	0.9752070895	2.525684747
158	0.9752347916	2.52427333
159	0.9753167122	2.520094861
160	0.9753336004	2.519232595
161	0.9754822566	2.511629834
162	0.9756319283	2.503951816
163	0.9756882348	2.50105724
164	0.9757766677	2.496504357
165	0.9758432985	2.493068443
166	0.9759654627	2.486756533
167	0.9760118933	2.484353383
168	0.9760947312	2.480060076
169	0.9761346897	2.477986452
170	0.9762637396	2.471277608
171	0.9763094222	2.468898363
172	0.9763755524	2.465450095
173	0.9764266958	2.462779984
174	0.9764855733	2.459702501
175	0.9765713039	2.455214523
176	0.9766400365	2.451610454
177	0.9766623109	2.450441339
178	0.9767459441	2.446046681
179	0.9768334883	2.441438042
180	0.9768817809	2.43889202
181	0.9769173493	2.437015127
182	0.9769715403	2.434152761
183	0.9769890752	2.433225851
184	0.9769990184	2.432700084
185	0.9771437757	2.425032871
186	0.9772160774	2.421194246
187	0.9773028554	2.416579
188	0.9773445334	2.414359242
189	0.9773956631	2.411633291
190	0.9774580134	2.408304953
191	0.9775301391	2.40444904
192	0.9775456033	2.403621505
193	0.9775589003	2.402909712
194	0.9776858793	2.396101846
195	0.9777832147	2.390870171
196	0.9778186426	2.388963116
197	0.9778521892	2.387155926
198	0.9779503199	2.381861649
199	0.9780247181	2.377839911
200	0.9781083325	2.373311846
201	0.9782236398	2.367053267
202	0.978358599	2.359706946
203	0.9784609814	2.354118612
204	0.9785439348	2.349581017
205	0.978582819	2.347451013
206	0.9786120947	2.345846073
207	0.9786723174	2.3425411
208	0.9787731049	2.336999516
209	0.9788046956	2.335259858
210	0.9788774111	2.331250587
211	0.978928326	2.328439211
212	0.978979347	2.325618569
213	0.9790074865	2.324061442
214	0.9790759049	2.320271084
215	0.9791574481	2.315745513
216	0.979171465	2.314966693
217	0.9791861181	2.314152252
218	0.9792188348	2.312332762
219	0.9792859761	2.308594313
220	0.9793538155	2.304810836
221	0.9794230128	2.300945218
222	0.9794991465	2.296684589
223	0.9795847361	2.291885329
224	0.9796806908	2.286492886
225	0.9797255799	2.283965851
226	0.979778382	2.280989761
227	0.9797873289	2.280485103
228	0.979826249	2.278288476
229	0.9798453328	2.277210621
230	0.9799001423	2.27411214
231	0.979984963	2.269308729
232	0.980024831	2.267047484
233	0.9800608268	2.265003919
234	0.9801083395	2.262303692
235	0.9801754747	2.258482779
236	0.9802110314	2.256456496
237	0.980294446	2.251695758
238	0.9803658013	2.247615281
239	0.9804315662	2.243847918
240	0.9804904248	2.240470816
241	0.9805631267	2.236292394
242	0.9805791702	2.235369269
243	0.9806303783	2.232420257
244	0.9806997863	2.2284169
245	0.9807114367	2.227744221
246	0.9807257554	2.226917194
247	0.9807789813	2.223840247
248	0.9808265874	2.221084567
249	0.9808760397	2.218218391
250	0.9809294423	2.215119099
251	0.9809978249	2.211144084
252	0.9810597739	2.207536862
253	0.9810797641	2.206371599
254	0.9810970405	2.205364033
255	0.9811402906	2.202839639
256	0.981217469	2.198327748
257	0.9812736976	2.195034754
258	0.9813331591	2.191547048
259	0.9813817791	2.188691114
260	0.9814517224	2.184576102
261	0.9815086325	2.181222152
262	0.9815781168	2.177120152
263	0.9816223619	2.174504108
264	0.9816501874	2.172857283
265	0.9817148236	2.169027021
266	0.9817552885	2.166625675
267	0.9817612386	2.166272348
268	0.9818147418	2.163092645
269	0.9818619566	2.160282779
270	0.9819155176	2.157090801
271	0.9819442862	2.15537438
272	0.9819688533	2.15390755
273	0.9820012534	2.151971507
274	0.9820433026	2.149456284
275	0.9820958602	2.146308351
276	0.9821387631	2.143735256
277	0.9821572006	2.142628524
278	0.9821861282	2.140890953
279	0.9822106199	2.139418724
280	0.9822157995	2.139107241
281	0.982252455	2.136901616
282	0.9823002126	2.134024546
283	0.9823464557	2.131235006
284	0.9823875365	2.128753807
285	0.9824044451	2.127731721
286	0.9824440539	2.125335538
287	0.9824648874	2.124074106
288	0.9825188615	2.120802574
289	0.9825600724	2.118301257
290	0.9826047103	2.115588598
291	0.9826669606	2.111799813
292	0.9827019859	2.109665052
293	0.9827370466	2.107525964
294	0.9827886177	2.104375615
295	0.9828490122	2.100680259
296	0.9828878059	2.098303154
297	0.9829348145	2.095419067
298	0.9829682325	2.093366382
299	0.9830184664	2.09027699
300	0.9830532191	2.088137018
301	0.9830847412	2.086194079
302	0.983127722	2.083541936
303	0.9831538142	2.081930265
304	0.9831855778	2.07996659
305	0.98323128	2.077137952
306	0.9832398232	2.076608766
307	0.9832435161	2.076379976
308	0.9833199994	2.07163584
309	0.9833512554	2.069693954
310	0.9833815121	2.067812409
311	0.9833868624	2.067479519
312	0.9834200102	2.065415896
313	0.9834340307	2.06454242
314	0.983454437	2.063270456
315	0.9835027631	2.060255065
316	0.983540512	2.05789658
317	0.9835826168	2.055262757
318	0.983617176	2.053098416
319	0.9836489727	2.051105066
320	0.9836781679	2.049273097
321	0.9837155408	2.046925588
322	0.9837542857	2.044489061
323	0.9837862844	2.042474582
324	0.9838370493	2.039274598
325	0.9838433813	2.038875106
326	0.9838495757	2.03848422
327	0.9838793678	2.036603189
328	0.9839323245	2.033255293
329	0.9839590762	2.031561965
330	0.9839794608	2.030270713
331	0.9840156526	2.027976134
332	0.9840433158	2.026220526
333	0.9840642256	2.024892496
334	0.9840763439	2.024122439
335	0.9841101131	2.021975029
336	0.9841309547	2.020648557
337	0.9841553365	2.019095663
338	0.9841897041	2.01690473
339	0.9842155058	2.015258305
340	0.9842206618	2.014929137
341	0.9842825759	2.010972219
342	0.984308098	2.009338835
343	0.9843223252	2.008427737
344	0.9843319829	2.007809034
345	0.984349451	2.006689475
346	0.9843898795	2.004095962
347	0.9844031284	2.003245302
348	0.9844317195	2.001408356
349	0.984458355	1.999695535
350	0.9844831125	1.998102168
351	0.9845061723	1.996616915
352	0.984563941	1.992891248
353	0.9845801102	1.991847204
354	0.9846089598	1.989983024
355	0.9846153397	1.989570535
356	0.9846582046	1.98679692
357	0.9846948634	1.984421805
358	0.9846971544	1.984273274
359	0.9847450293	1.981166947
360	0.9847591011	1.980252981
361	0.9848081483	1.977064059
362	0.9848351447	1.975306623
363	0.9848720597	1.972900967
364	0.9848889116	1.9718018
365	0.9849035242	1.970848189
366	0.9849546975	1.967505011
367	0.9850007914	1.9644888
368	0.9850500775	1.961258576
369	0.9850746798	1.959644139
370	0.9851007115	1.957934458
371	0.9851145907	1.957022307
372	0.9851262382	1.95625649
373	0.9851386392	1.955440807
374	0.9851515092	1.954593911
375	0.9851826972	1.952540107
376	0.9852324568	1.949258832
377	0.9852813528	1.946029111
378	0.9853073609	1.944309021
379	0.98534467	1.941838854
380	0.985389922	1.938838579
381	0.9854249786	1.936511079
382	0.9854290908	1.936237878
383	0.9854596343	1.934207442
384	0.9855047584	1.931203831
385	0.9855650938	1.927180392
386	0.9856174991	1.923678935
387	0.9856298196	1.922854817
388	0.9856441716	1.921894369
389	0.9856700432	1.920161802
390	0.9856992063	1.918206933
391	0.9857264895	1.916376271
392	0.9857379168	1.915608996
393	0.985776297	1.913029742
394	0.9858118666	1.910636263
395	0.9858444587	1.908440502
396	0.9858523003	1.90791183
397	0.9858847154	1.905724886
398	0.9859102282	1.904001845
399	0.9859359921	1.902260262
400	0.9859900785	1.898598949
401	0.986004489	1.897622254
402	0.986029242	1.895943406
403	0.986040816	1.895157901
404	0.9860648651	1.893524696
405	0.9860928453	1.891622751
406	0.98609675	1.891357177
407	0.9861345513	1.888784232
408	0.9861559134	1.887328679
409	0.986163098	1.886838883
410	0.9861892097	1.885057713
411	0.9862312884	1.882183827
412	0.9862460194	1.881176692
413	0.9862743464	1.879238503
414	0.9862994464	1.877519445
415	0.986307912	1.876939293
416	0.9863361925	1.874999919
417	0.9863486041	1.874148139
418	0.9863732053	1.872458676
419	0.9864025527	1.870441277
420	0.9864410139	1.867794071
421	0.9864774791	1.865280782
422	0.9865059662	1.863315007
423	0.986539057	1.861028944
424	0.9865563769	1.859831289
425	0.9865809568	1.858130282
426	0.9865850351	1.8578479
427	0.9866092124	1.856172976
428	0.9866300211	1.854730209
429	0.9866701363	1.851945662
430	0.9866932902	1.85033655
431	0.9867364834	1.847331043
432	0.9867696573	1.845019379
433	0.9867733345	1.844762958
434	0.9867849117	1.843955434
435	0.986818808	1.841589071
436	0.9868331524	1.840586739
437	0.986865191	1.838346052
438	0.9868687492	1.838097026
439	0.9869036112	1.835655439
440	0.986921392	1.834408893
441	0.9869514101	1.832302508
442	0.9869669957	1.831207903
443	0.9869962037	1.829154816
444	0.9870277062	1.826937851
445	0.9870495023	1.825402389
446	0.987067163	1.824157308
447	0.987086338	1.822804501
448	0.9871020607	1.821694511
449	0.9871376873	1.819176831
450	0.987170979	1.816821011
451	0.9871823485	1.816015767
452	0.987204312	1.814459199
453	0.9872187168	1.813437594
454	0.9872455134	1.811535612
455	0.9872728516	1.809593133
456	0.9872874357	1.808556026
457	0.9873232538	1.806006394
458	0.9873537013	1.803836222
459	0.9873982916	1.800653285
460	0.9874225864	1.798916714
461	0.9874540839	1.796662796
462	0.9874805839	1.794764301
463	0.9874926029	1.793902577
464	0.9875337394	1.790950098
465	0.987580768	1.787568758
466	0.987609488	1.785500645
467	0.987634708	1.783682587
468	0.9876637522	1.781586559
469	0.9876754727	1.780740028
470	0.9876943369	1.779376681
471	0.9877134023	1.777997735
472	0.9877274706	1.776979534
473	0.9877508953	1.775282853
474	0.9877789952	1.773245401
475	0.9877977565	1.771883763
476	0.9878153675	1.770604656
477	0.9878335567	1.769282588
478	0.9878465944	1.768334344
479	0.9878814499	1.765796765
480	0.9878983688	1.764563707
481	0.987918193	1.763117812
482	0.9879455574	1.761120008
483	0.987958543	1.760171175
484	0.9879883731	1.757989604
485	0.9880043369	1.756821005
486	0.9880229169	1.755459914
487	0.9880410345	1.754131679
488	0.9880606269	1.752694188
489	0.9880854055	1.750874503
490	0.9881080819	1.749207536
491	0.9881231467	1.748099232
492	0.988146316	1.746393307
493	0.9881642873	1.745068958
494	0.9881891104	1.743238026
495	0.9882070813	1.741911301
496	0.9882269439	1.740443748
497	0.9882554483	1.73833553
498	0.9882877577	1.735942795
499	0.9883015698	1.734918903
500	0.988318238	1.733682485
501	0.9883359767	1.732365691
502	0.9883461758	1.731608131
503	0.988348804	1.731412861
504	0.988351317	1.73122613
505	0.988378718	1.729188766
506	0.9883959771	1.727904255
507	0.9884043287	1.727282338
508	0.9884357544	1.724940182
509	0.988444612	1.724279446
510	0.9884658804	1.722691897
511	0.9884780985	1.72177923
512	0.9884989542	1.720220234
513	0.9885013499	1.720041061
514	0.9885216895	1.718519125
515	0.9885297417	1.717916236
516	0.9885476672	1.716573348
517	0.98854965	1.716424738
518	0.9885709926	1.714824352
519	0.9885880051	1.713547589
520	0.9886067128	1.712142496
521	0.9886311899	1.710302348
522	0.9886547457	1.708529583
523	0.9886693093	1.707432629
524	0.9886861013	1.706166959
525	0.9886957756	1.705437348
526	0.9887047508	1.704760182
527	0.9887366548	1.702350889
528	0.9887514992	1.701228721
529	0.9887699211	1.699835081
530	0.9887812846	1.698974855
531	0.9888043774	1.697225352
532	0.9888239503	1.695741102
533	0.9888551137	1.693375243
534	0.9888770015	1.69171159
535	0.9888847594	1.691121531
536	0.9889038164	1.689671205
537	0.9889263915	1.687951516
538	0.9889398388	1.68692632
539	0.9889595404	1.685423173
540	0.9889619008	1.685242997
541	0.9889772661	1.68406964
542	0.9889888449	1.683184893
543	0.9890160594	1.681103583
544	0.9890305392	1.679995137
545	0.9890563077	1.67802073
546	0.9890808566	1.676137608
547	0.9891039723	1.67436248
548	0.9891288007	1.672453738
549	0.9891476942	1.670999796
550	0.989158241	1.670187615
551	0.9891700977	1.669274097
552	0.989187799	1.667909338
553	0.989215264	1.665789595
554	0.989221969	1.665271688
555	0.9892312771	1.66455246
556	0.9892410625	1.663796003
557	0.9892564348	1.66260697
558	0.9892866433	1.660267886
559	0.9893033894	1.658969795
560	0.9893113412	1.658353041
561	0.9893186274	1.657787717
562	0.9893260319	1.657213015
563	0.9893449659	1.655742543
564	0.9893524255	1.655162845
565	0.9893648592	1.654196156
566	0.9893767755	1.653269162
567	0.9893923955	1.652053258
568	0.9893935708	1.651961737
569	0.9893945834	1.651882879
570	0.9894209711	1.649826547
571	0.9894463388	1.647847275
572	0.9894619466	1.646628328
573	0.9894899213	1.644441277
574	0.989501968	1.643498574
575	0.9895231958	1.641836092
576	0.9895400705	1.640513328
577	0.9895541131	1.639411758
578	0.9895681755	1.638307882
579	0.9895758899	1.637702003
580	0.9895894779	1.636634271
581	0.989615524	1.634585637
582	0.9896317006	1.633311988
583	0.9896583362	1.631212698
584	0.9896731379	1.630044925
585	0.9896857881	1.629046229
586	0.9897116215	1.627004865
587	0.9897373634	1.624968177
588	0.9897559942	1.623492521
589	0.9898021961	1.619827296
590	0.9898144078	1.618857147
591	0.989856599	1.615500819
592	0.9899064239	1.611528226
593	0.9899104909	1.611203528
594	0.9899178981	1.610611984
595	0.9899369074	1.609092903
596	0.9899640394	1.606922231
597	0.9899742189	1.606107071
598	0.9899931379	1.604590965
599	0.9900113465	1.603130437
600	0.9900323998	1.601440066
601	0.9900447117	1.60045072
602	0.9900632249	1.598961898
603	0.990089461	1.596849636
604	0.9901033288	1.595732007
605	0.9901053253	1.595571038
606	0.9901193477	1.594440048
607	0.9901296731	1.593606726
608	0.9901416792	1.592637213
609	0.9901491837	1.592030907
610	0.9901606754	1.591102024
611	0.9901732692	1.590083441
612	0.9901766089	1.589813214
613	0.9901905704	1.588683054
614	0.9901953765	1.588293822
615	0.9902119417	1.586951519
616	0.9902291056	1.585559504
617	0.9902527609	1.58363902
618	0.9902751727	1.581817344
619	0.9902824583	1.581224707
620	0.990298602	1.579910724
621	0.990310415	1.578948528
622	0.9903243799	1.57781031
623	0.9903377835	1.576717066
624	0.9903481309	1.575872573
625	0.9903558557	1.575241831
626	0.9903664699	1.574374749
627	0.9903696387	1.574115791
628	0.9903767823	1.573531861
629	0.9903852944	1.572835785
630	0.990398035	1.571793337
631	0.9904138911	1.570495022
632	0.9904339992	1.568846997
633	0.9904511578	1.567439344
634	0.9904675786	1.566091027
635	0.9904862653	1.56455525
636	0.99049969	1.563450999
637	0.9905086977	1.562709628
638	0.9905262895	1.561260739
639	0.990555568	1.558846341
640	0.9905680254	1.557817924
641	0.9905790576	1.556906596
642	0.9906106882	1.554290758
643	0.9906354361	1.552241047
644	0.990651887	1.550877024
645	0.9906754455	1.548921584
646	0.9906908939	1.547637966
647	0.9907066583	1.546327
648	0.990729843	1.544396927
649	0.9907427358	1.543322597
650	0.9907651423	1.541453717
651	0.9907775007	1.540421957
652	0.9907972601	1.538770881
653	0.9908009639	1.538461197
654	0.9908233225	1.536590414
655	0.9908241134	1.5365242
656	0.990825976	1.536368242
657	0.9908389017	1.535285531
658	0.9908523012	1.534162322
659	0.9908765139	1.532130624
660	0.9909073319	1.529540758
661	0.9909275795	1.527836812
662	0.9909377264	1.526982184
663	0.9909480251	1.526114274
664	0.99096512	1.52467254
665	0.9909821263	1.523236928
666	0.9910034396	1.521435811
667	0.9910244313	1.519659795
668	0.9910274888	1.519400933
669	0.9910477714	1.517682643
670	0.9910641596	1.516292847
671	0.9910760199	1.515286245
672	0.9910956532	1.513618466
673	0.9911086366	1.512514562
674	0.9911203437	1.511518487
675	0.9911437031	1.509529026
676	0.9911579041	1.508318286
677	0.9911631084	1.507874334
678	0.9911652269	1.507693578
679	0.9911860008	1.505919956
680	0.9912093292	1.503925743
681	0.9912121331	1.503685874
682	0.9912271706	1.502398797
683	0.9912380318	1.501468486
684	0.9912506438	1.500387487
685	0.991253512	1.500141542
686	0.9912561692	1.499913649
687	0.9912687248	1.498836373
688	0.9912829077	1.497618536
689	0.9912996476	1.496179866
690	0.9913051386	1.495707653
691	0.9913216386	1.4942878
692	0.9913415292	1.492574379
693	0.9913599779	1.490983408
694	0.9913646254	1.490582354
695	0.9913764526	1.489561238
696	0.9913819754	1.48908418
697	0.991399791	1.487544233
698	0.9914055514	1.487045973
699	0.9914217445	1.485644411
700	0.9914317766	1.484775445
701	0.9914383769	1.484203456
702	0.9914901277	1.479711013
703	0.9915046795	1.478445329
704	0.9915179668	1.477288678
705	0.9915370404	1.475626747
706	0.9915495119	1.474539063
707	0.9915658207	1.473115505
708	0.9915825458	1.471654171
709	0.9915972815	1.470365459
710	0.9916109794	1.469166491
711	0.9916279471	1.467679967
712	0.9916435698	1.466309945
713	0.9916597989	1.464885388
714	0.9916665342	1.464293771
715	0.9916764828	1.46341946
716	0.9916891209	1.462308034
717	0.9917015102	1.461217673
718	0.991724214	1.459217436
719	0.9917342122	1.458335709
720	0.9917503122	1.456914754
721	0.9917695577	1.45521436
722	0.9917822564	1.454091305
723	0.9918079297	1.451818143
724	0.9918141048	1.451270861
725	0.9918263375	1.450186094
726	0.9918391106	1.449052532
727	0.9918527212	1.447843682
728	0.9918552979	1.447614707
729	0.991857833	1.447389403
730	0.9918716085	1.446164485
731	0.9918813676	1.445296075
732	0.9918962244	1.443973054
733	0.9919124409	1.442527562
734	0.9919338994	1.440612574
735	0.9919458107	1.439548499
736	0.9919635249	1.437964577
737	0.9919783995	1.436633208
738	0.9919961588	1.435042015
739	0.9919998247	1.434713341
740	0.9920077048	1.434006581
741	0.992027433	1.432235631
742	0.9920543589	1.429815024
743	0.9920672047	1.428658764
744	0.9920798967	1.427515419
745	0.9920893082	1.426667004
746	0.9921019701	1.425524786
747	0.9921174693	1.424125361
748	0.9921319817	1.422813795
749	0.9921493487	1.42124264
750	0.9921581324	1.420447341
751	0.9921706445	1.419313686
752	0.9921800746	1.41845868
753	0.992185537	1.417963183
754	0.9921921251	1.417365338
755	0.992194522	1.417147767
756	0.9921965135	1.416966967
757	0.9922041679	1.416271848
758	0.9922146297	1.415321237
759	0.9922254161	1.414340448
760	0.992239718	1.41303896
761	0.9922516792	1.41194956
762	0.9922628873	1.410927982
763	0.9922675705	1.410500908
764	0.9922838032	1.409019592
765	0.9922982293	1.407701837
766	0.9923108073	1.406551884
767	0.9923241867	1.405327636
768	0.9923287622	1.404908716
769	0.9923417743	1.4037167
770	0.9923521317	1.402767141
771	0.9923712608	1.401011718
772	0.9923886805	1.399411248
773	0.9924023792	1.398151366
774	0.9924155922	1.396935079
775	0.9924220788	1.396337586
776	0.9924382251	1.394849198
777	0.9924522983	1.393550619
778	0.9924662838	1.39225893
779	0.992485275	1.390503003
780	0.9924989463	1.389237581
781	0.9925110534	1.388115974
782	0.9925193411	1.387347679
783	0.9925339523	1.385992134
784	0.992552582	1.384261855
785	0.9925553039	1.384008867
786	0.992564133	1.383187935
787	0.9925689509	1.382739757
788	0.9925755502	1.382125634
789	0.9925922908	1.380566556
790	0.9926087099	1.379035703
791	0.992620028	1.377979456
792	0.9926305638	1.376995484
793	0.9926447404	1.375670385
794	0.9926597026	1.37427047
795	0.9926696677	1.373337306
796	0.992675527	1.372788324
797	0.9926828031	1.372106296
798	0.9926847299	1.371925626
799	0.9926868604	1.371725829
800	0.992699574	1.370532963
801	0.9927143803	1.369142449
802	0.9927300627	1.367668103
803	0.992736285	1.367082681
804	0.9927454745	1.366217649
805	0.99274753	1.366024077
806	0.992770097	1.363897145
807	0.9927784369	1.363110267
808	0.9927863163	1.362366425
809	0.9927882958	1.362179491
810	0.9927902143	1.361998289
811	0.9928027889	1.360810046
812	0.9928117986	1.35995802
813	0.9928328917	1.357961227
814	0.9928347331	1.357786766
815	0.9928361836	1.357649323
816	0.9928379693	1.357480111
817	0.9928397018	1.357315909
818	0.9928485993	1.356472335
819	0.9928595448	1.355433877
820	0.9928756911	1.353900519
821	0.9928846148	1.353052332
822	0.9929115699	1.350487028
823	0.9929214602	1.349544545
824	0.9929311254	1.348622882
825	0.9929395866	1.347815511
826	0.9929543725	1.346403475
827	0.9929694843	1.34495879
828	0.9929889396	1.343096571
829	0.9929964665	1.342375419
830	0.9930113987	1.340943614
831	0.9930201901	1.340099927
832	0.9930308025	1.339080765
833	0.9930354627	1.338632981
834	0.9930409207	1.33810834
835	0.9930515065	1.337090224
836	0.9930652274	1.335769426
837	0.993074953	1.334832423
838	0.9930831266	1.334044443
839	0.9930900525	1.33337638
840	0.9930954585	1.332854694
841	0.9930970671	1.332699431
842	0.9931092859	1.331519402
843	0.9931255735	1.32994482
844	0.9931352979	1.329003834
845	0.9931424285	1.328313411
846	0.993143979	1.328163238
847	0.9931555365	1.327043294
848	0.9931692133	1.325716763
849	0.9931817334	1.324501253
850	0.9931832376	1.324355151
851	0.9931983071	1.322890495
852	0.9931997662	1.322748594
853	0.9932137174	1.321391036
854	0.9932207908	1.320702205
855	0.9932376061	1.319063243
856	0.9932436979	1.318468978
857	0.9932616071	1.316720355
858	0.9933009324	1.312872537
859	0.9933111977	1.31186627
860	0.9933229013	1.31071806
861	0.9933532895	1.307732049
862	0.993381441	1.304959724
863	0.9933877759	1.304335054
864	0.9933938271	1.30373809
865	0.9934009943	1.303030667
866	0.9934038377	1.302749907
867	0.9934084693	1.302292454
868	0.9934184096	1.301310126
869	0.9934213947	1.301014986
870	0.993427706	1.300390762
871	0.9934312389	1.300041207
872	0.9934362805	1.299542219
873	0.9934414867	1.299026728
874	0.9934505395	1.298129889
875	0.9934587203	1.297318897
876	0.9934707408	1.296126351
877	0.9934800479	1.295202246
878	0.9934847317	1.294736935
879	0.9934908578	1.294128097
880	0.9935106749	1.292156605
881	0.993521426	1.291085776
882	0.9935376201	1.289471141
883	0.9935537779	1.287858107
884	0.9935828634	1.284949404
885	0.9935941605	1.283817859
886	0.9935965781	1.283575576
887	0.9936090577	1.282324184
888	0.9936235539	1.280869047
889	0.9936357003	1.279648517
890	0.9936465106	1.278561255
891	0.9936550299	1.277703763
892	0.9936674307	1.276454561
893	0.9936710427	1.276090475
894	0.9936811486	1.275071257
895	0.9936855858	1.274623488
896	0.9936987952	1.273289568
897	0.9937099298	1.272164084
898	0.9937218446	1.270958639
899	0.9937416507	1.268952261
900	0.9937516678	1.267936318
901	0.9937609325	1.266995953
902	0.9937738181	1.265686912
903	0.9937783433	1.265226869
904	0.9937944681	1.263586253
905	0.9938031119	1.262705906
906	0.9938085545	1.262151282
907	0.9938266626	1.260304227
908	0.9938343135	1.259523003
909	0.9938367468	1.259274449
910	0.9938384119	1.259104329
911	0.9938440114	1.25853208
912	0.9938497744	1.257942839
913	0.9938614119	1.256752135
914	0.9938672995	1.256149306
915	0.9938758631	1.255271962
916	0.9938775641	1.255097627
917	0.9938839104	1.254446961
918	0.9938947139	1.253338543
919	0.9938978563	1.25301595
920	0.993904502	1.25233345
921	0.9939166948	1.251080308
922	0.993925722	1.250151706
923	0.9939300978	1.249701333
924	0.9939390794	1.248776404
925	0.9939405117	1.248628836
926	0.993963055	1.246304021
927	0.9939683296	1.245759438
928	0.9939782975	1.244729643
929	0.9939801131	1.244541978
930	0.9939841422	1.244125425
931	0.9939875985	1.243767983
932	0.9939989737	1.242590842
933	0.9940083866	1.241615932
934	0.9940198889	1.240423569
935	0.9940226015	1.240142212
936	0.9940372941	1.238617124
937	0.9940440794	1.237912177
938	0.9940575067	1.236515985
