iter	Passed	Remaining
402	9893	14655
403	9913	14625
404	9933	14594
405	9952	14561
406	9972	14530
407	9992	14498
408	10012	14467
409	10031	14435
410	10050	14403
411	10071	14373
412	10090	14341
413	10110	14310
414	10130	14279
415	10149	14247
416	10169	14218
417	10190	14189
418	10209	14156
419	10228	14125
420	10262	14113
421	10281	14082
422	10301	14052
423	10321	14021
424	10341	13991
425	10361	13960
426	10381	13931
427	10404	13905
428	10426	13878
429	10451	13854
430	10474	13828
431	10496	13801
432	10519	13774
433	10542	13748
434	10568	13726
435	10590	13699
436	10613	13673
437	10636	13648
438	10658	13620
439	10680	13593
440	10702	13566
441	10724	13538
442	10745	13511
443	10768	13484
444	10793	13461
445	10822	13443
446	10847	13419
447	10872	13396
448	10896	13371
449	10918	13344
450	10940	13317
451	10964	13292
452	10988	13268
453	11011	13243
454	11037	13221
455	11059	13193
456	11081	13167
457	11106	13142
458	11128	13116
459	11150	13089
460	11175	13066
461	11197	13039
462	11221	13014
463	11245	12990
464	11270	12967
465	11300	12949
466	11324	12924
467	11347	12899
468	11370	12873
469	11393	12847
470	11416	12822
471	11438	12795
472	11457	12766
473	11477	12736
474	11497	12708
475	11518	12679
476	11538	12650
477	11559	12623
478	11580	12596
479	11602	12568
480	11621	12539
481	11641	12511
482	11663	12484
483	11683	12456
484	11705	12430
485	11729	12405
486	11753	12380
487	11779	12358
488	11804	12335
489	11824	12307
490	11846	12280
491	11866	12252
492	11887	12225
493	11909	12198
494	11931	12172
495	11952	12145
496	11975	12119
497	11995	12091
498	12014	12063
499	12033	12033
500	12052	12004
501	12073	11977
502	12093	11949
503	12112	11920
504	12131	11891
505	12151	11862
506	12170	11834
507	12188	11804
508	12208	11777
509	12227	11747
510	12248	11721
511	12267	11692
512	12287	11665
513	12307	11636
514	12327	11609
515	12348	11582
516	12368	11555
517	12389	11528
518	12409	11501
519	12429	11473
520	12450	11446
521	12470	11419
522	12491	11393
523	12512	11366
524	12532	11338
525	12552	11311
526	12571	11283
527	12592	11256
528	12611	11228
529	12630	11200
530	12649	11172
531	12668	11144
532	12688	11117
533	12707	11088
534	12726	11061
535	12749	11037
536	12772	11012
537	12793	10985
538	12814	10959
539	12835	10933
540	12856	10908
541	12877	10881
542	12899	10856
543	12920	10830
544	12943	10805
545	12969	10784
546	12991	10759
547	13013	10734
548	13036	10709
549	13057	10683
550	13078	10657
551	13098	10630
552	13120	10605
553	13142	10580
554	13163	10554
555	13182	10526
556	13201	10499
557	13220	10472
558	13241	10446
559	13262	10420
560	13282	10394
561	13303	10368
562	13324	10342
563	13348	10318
564	13371	10294
565	13393	10270
566	13414	10244
567	13436	10219
568	13455	10192
569	13475	10165
570	13497	10140
571	13520	10116
572	13542	10092
573	13565	10067
574	13587	10042
575	13607	10016
576	13628	9990
577	13647	9963
578	13667	9937
579	13687	9911
580	13707	9885
581	13727	9859
582	13747	9833
583	13767	9806
584	13786	9779
585	13806	9754
586	13841	9738
587	13863	9713
588	13885	9689
589	13907	9664
590	13929	9639
591	13952	9616
592	13974	9591
593	13994	9565
594	14015	9539
595	14036	9514
596	14058	9490
597	14079	9464
598	14102	9441
599	14124	9416
600	14147	9392
601	14168	9366
602	14188	9341
603	14210	9316
604	14231	9291
605	14250	9265
606	14269	9238
607	14289	9212
608	14309	9187
609	14329	9161
610	14350	9136
611	14373	9112
612	14396	9088
613	14418	9064
614	14440	9040
615	14461	9015
616	14483	8990
617	14504	8965
618	14526	8941
619	14546	8915
620	14565	8889
621	14584	8863
622	14605	8838
623	14623	8811
624	14643	8786
625	14662	8759
626	14682	8734
627	14701	8708
628	14722	8683
629	14743	8659
630	14767	8635
631	14789	8611
632	14810	8586
633	14836	8564
634	14867	8545
635	14900	8527
636	14940	8513
637	14967	8492
638	14990	8468
639	15013	8445
640	15036	8421
641	15060	8398
642	15084	8374
643	15117	8356
644	15138	8331
645	15158	8306
646	15178	8281
647	15198	8256
648	15217	8230
649	15238	8205
650	15259	8180
651	15279	8155
652	15300	8130
653	15320	8105
654	15341	8080
655	15359	8054
656	15379	8029
657	15401	8004
658	15423	7980
659	15443	7955
660	15465	7931
661	15485	7906
662	15504	7880
663	15523	7855
664	15544	7830
665	15563	7805
666	15584	7780
667	15604	7755
668	15634	7735
669	15660	7713
670	15688	7692
671	15713	7669
672	15736	7646
673	15761	7623
674	15781	7598
675	15801	7573
676	15822	7548
677	15843	7524
678	15865	7500
679	15886	7475
680	15911	7453
681	15936	7430
682	15962	7408
683	15986	7385
684	16010	7362
685	16032	7338
686	16055	7314
687	16079	7291
688	16101	7267
689	16124	7244
690	16145	7219
691	16166	7195
692	16187	7171
693	16214	7149
694	16236	7125
695	16256	7100
696	16276	7075
697	16297	7051
698	16322	7028
699	16343	7004
700	16378	6985
701	16398	6961
702	16421	6937
703	16442	6913
704	16465	6889
705	16488	6866
706	16510	6842
707	16530	6817
708	16554	6794
709	16574	6769
710	16594	6745
711	16615	6720
712	16636	6696
713	16657	6672
714	16677	6647
715	16697	6623
716	16722	6600
717	16745	6576
718	16766	6552
719	16785	6527
720	16804	6502
721	16825	6478
722	16844	6453
723	16863	6428
724	16883	6404
725	16902	6379
726	16923	6354
727	16942	6330
728	16964	6306
729	16985	6282
730	17005	6257
731	17026	6233
732	17046	6209
733	17066	6184
734	17087	6160
735	17106	6135
736	17129	6112
737	17149	6088
738	17168	6063
739	17187	6038
740	17206	6014
741	17226	5989
742	17245	5965
743	17263	5940
744	17283	5915
745	17304	5891
746	17324	5867
747	17344	5843
748	17363	5818
749	17386	5795
750	17405	5770
751	17424	5746
752	17445	5722
753	17464	5698
754	17490	5675
755	17509	5651
756	17528	5626
757	17548	5602
758	17567	5577
759	17587	5553
760	17606	5529
761	17625	5505
762	17646	5481
763	17667	5457
764	17704	5438
765	17724	5414
766	17745	5390
767	17764	5366
768	17786	5342
769	17806	5318
770	17826	5294
771	17845	5270
772	17865	5246
773	17885	5222
774	17904	5198
775	17925	5174
776	17946	5150
777	17967	5127
778	17987	5103
779	18007	5079
780	18027	5055
781	18047	5031
782	18066	5007
783	18085	4982
784	18105	4958
785	18128	4935
786	18148	4911
787	18167	4887
788	18189	4864
789	18210	4840
790	18232	4817
791	18254	4794
792	18276	4770
793	18296	4747
794	18317	4723
795	18338	4699
796	18359	4676
797	18379	4652
798	18399	4628
799	18419	4604
800	18438	4580
801	18458	4556
802	18478	4533
803	18498	4509
